song_called	count(song_called)	Check
Used to Love Her	1	ok
Valley Road	6	ok
Victim or the Crime	53	ok
Viola Lee	6	ok
Visions of Johanna	4	ok
Wake Up Little Susie	4	ok
Walkin' Blues	122	ok
Walkin' the Dog	5	ok
Wang Dang Doodle	88	ok
Warriors of the Sun	1	ok
Watching the River Flow	2	ok
Wave That Flag	14	ok
Wave to the Wind	21	ok
Way to Go Home	28	ok
We Bid You Goodnight	4	ok
We Can Run	21	ok
Weather Report Suite Prelude	51	ok
Werewolves of London	11	ok
West L.A. Fadeaway	137	ok
Wharf Rat	345	ok
What's Going On	1	ok
When I Paint My Masterpiece	139	ok
When Push Comes to Shove	58	ok
Where Have the Heroes Gone	1	ok
Who Do You Love	3	ok
Why Don't We Do it in the Road	7	ok
Wicked Messenger	1	ok
Willie and the Hand Jive	6	ok
Winin' Boy Blues	1	ok
You Ain't Woman Enough	14	ok
You Don't Have to Ask	1	ok
You Win Again	17	ok
You Won't Find Me	1	ok
Your Love At Home	1	ok
Saturday Night	2	One More Saturday Night
Playin' In The Band	22	Playin' in the Band
Playin' in the Band->	1	Playin' in the Band
Playin' in the Streets	1	Playin' in the Band
Playin' reprise	10	Playin' in the Band
Rainy Day Women	1	Rainy Day Woman
Ramble on Rose	264	Ramble On Rose
Rockin Pneumonia	3	Rockin' Pneumonia
Saint Of Circumstance	4	Saint of Circumstance
Samson andDeliliah	1	Samson and Delilah
Ship Of Fools	22	Ship of Fools
Smlkestack Lightnin'	10	Smokestack Lightnin'
Space Jam	1	Space
Stuck Inside Of Mobile	26	Stuck Inside of Mobile
Sugar Magnolla	8	Sugar Magnolia
Days Between	13	The Days Between
The Eleven Jam	3	The Eleven
Last Time	9	The Last Time
The Race Is On	27	The Race is On
Same Thing	1	The Same Thing
Wheel	7	The Wheel
Man Smart/Woman	1	The Woman Are Smarter
Man Smart/Woman Smarter	192	The Woman Are Smarter
This Could Be The Last Time	7	This Could Be the Last Time
Thowing Stones	1	Throwin' Stones
Throwin Stones	4	Throwin' Stones
Throwing Stones	48	Throwin' Stones
Tomorrow Is Forever	7	Tomorrow is Forever
Touch Of Grey	40	Touch of Grey
Victim Or The Crime	38	Victim or the Crime
Visions of Johanna >	1	Visions of Johanna
Women Are Smarter	2	Visions of Johanna
Women are Smarter	2	Visions of Johanna
We Can Ru	1	We Can Run
Weather Report Suite Part 1	46	Weather Report Suite Prelude
Werewolves Of London	1	Werewolves of London
West L.A. Fadeway	1	West L.A. Fadeway
Long Way Home	30	ok
Long Way to Go Home	23	Long Way Home
Nobody's Jam	19	ok
Sam	1	ok
Samba in the Rain	25	ok
Smarter Ship Of Fools	1	ok
Stander on the Mountain	12	ok
With Bruce Hornsby on Grand Piano.	19	ok
